ASSEMBLY	FLIGHT_BINARY	EARTH_SPACE_BINARY
SRR6853346_apitbin	0	1
SRR6853362_apitbin	0	1
GCA_017166605	1	1
GCA_017166525	1	1
GCA_017166585	1	1
GCA_017166365	1	1
GCA_017166625	1	1
GCA_017166485	1	1
GCA_017166125	1	1
GCA_017166205	1	1
GCA_001743435	0	1
GCA_017166095	1	1
GCA_017166225	1	1
GCA_017166275	1	1
GCA_017166385	1	1
GCA_017166545	1	1
GCA_017166265	1	1
GCA_017166565	1	1
GCA_013449825	0	1
GCA_013449855	0	1
GCA_013450185	0	1
GCA_013450165	0	1
JC-1293_assembled	1	1
JC-1294_assembled	1	1
JC-1295_assembled	1	1
GCA_000191145		0
GCA_019047205		0
GCA_003956065		0
GCA_002863745		0
GCA_014168695		0
GCA_002158945		0
GCA_011996285		0
GCA_003051965		0
GCA_002902805		0
GCA_001577285		0
GCA_002012285		0
GCA_009931315		0
GCA_016889825		0
GCA_016804045		0
GCA_002999115		0
GCA_008121475		0
GCA_001617545		0
GCA_016890065		0
GCA_007954485		0
GCA_008694085		0
GCA_002999215		0
GCA_016889305		0
GCA_019048225		0
GCA_016889345		0
GCA_006351765		0
GCA_019264765		0
GCA_000836015		0
GCA_000369045		0
GCA_001698835		0
GCA_004209335		0
GCA_904887025		0
GCA_017161945		0
GCA_017162015		0
GCA_017162095		0
GCA_904887545		0
GCA_016503025		0
GCA_016508495		0
GCA_001716955		0
GCA_904887685		0
GCA_017161985		0
GCA_016502385		0
GCA_002145415		0
GCA_009887685		0
GCA_017162025		0
GCA_003053325		0
GCA_017162065		0
GCA_001716945		0
GCA_002145355		0
GCA_000817365		0
GCA_017162115		0
GCA_004209305		0
GCA_002016895		0
GCA_001432835		0
GCA_002144845		0
GCA_017161975		0
GCA_015694545		0
GCA_001936495		0
GCA_002145265		0
GCA_009822185		0
GCA_018109465		0
GCA_004209445		0
GCA_002145325		0
GCA_002143595		0
GCA_004209725		0
GCA_900496515		0
GCA_016502765		0
GCA_001706275		0
GCA_003947655		0
GCA_002137145		0
GCA_002927955		0
GCA_018422535		0
GCA_006538605		0
GCA_002928115		0
GCA_004296295		0
GCA_017161935		0
GCA_003947755		0
GCA_004209555		0
GCA_016502645		0
GCA_003947765		0
GCA_004209495		0
GCA_004209655		0
GCA_001706665		0
GCA_004209505		0
GCA_003948075		0
GCA_016502795		0
GCA_017162055		0
GCA_004209515		0
GCA_003947705		0
GCA_004209395		0
GCA_016535745		0
GCA_001432505		0
GCA_001706155		0
GCA_016502605		0
GCA_004209635		0
GCA_002144035		0
GCA_004209565		0
GCA_004208835		0
GCA_004209605		0
GCA_002136575		0
GCA_007679545		0
GCA_001716935		0
GCA_004209625		0
GCA_001432435		0
GCA_002740745		0
GCA_002137175		0
GCA_003947955		0
GCA_002138095		0
GCA_002143255		0
GCA_002740775		0
GCA_002137115		0
GCA_002137415		0
GCA_003006915		0
GCA_014769175		0
GCA_002136755		0
GCA_001414725		0
GCA_001433225		0
GCA_002740735		0
GCA_012910685		0
GCA_000931915		0
GCA_003947695		0
GCA_004209295		0
GCA_004209435		0
GCA_001706215		0
GCA_001432715		0
GCA_003954385		0
GCA_000949755		0
GCA_004209415		0
GCA_004211795		0
GCA_001861625		0
GCA_003947975		0
GCA_002144875		0
GCA_000949735		0
GCA_001706035		0
GCA_900495015		0
GCA_001706135		0
GCA_002143515		0
GCA_000341835		0
GCA_002740805		0
GCA_009645895		0
GCA_002927935		0
GCA_001432775		0
GCA_003948045		0
GCA_002137365		0
GCA_001432935		0
GCA_002137615		0
GCA_003947725		0
GCA_002143135		0
GCA_003569535		0
GCA_002143895		0
GCA_002145235		0
GCA_002143505		0
GCA_900110525		0
GCA_002144885		0
GCA_007680445		0
GCA_002927865		0
GCA_002137125		0
GCA_000931895		0
GCA_002138225		0
GCA_016811255		0
GCA_008581325		0
GCA_001706505		0
GCA_001432635		0
GCA_002137855		0
GCA_018595725		0
GCA_016506165		0
GCA_016506275		0
GCA_000315155		0
GCA_003947915		0
GCA_003948335		0
GCA_001706435		0
GCA_016502575		0
GCA_001706225		0
GCA_016508345		0
GCA_002137885		0
GCA_002014165		0
GCA_001433185		0
GCA_000949795		0
GCA_003947985		0
GCA_001706495		0
GCA_003947995		0
GCA_000800555		0
GCA_001706635		0
GCA_016535875		0
GCA_003569515		0
GCA_002137635		0
GCA_004209595		0
GCA_001706045		0
GCA_002143415		0
GCA_001706645		0
GCA_016535865		0
GCA_002137805		0
GCA_002761185		0
GCA_002740785		0
GCA_001706525		0
GCA_000949775		0
GCA_016502655		0
GCA_001706585		0
GCA_001706365		0
GCA_001706125		0
GCA_002138235		0
GCA_001713675		0
GCA_001706555		0
GCA_001706055		0
GCA_016535885		0
GCA_001706065		0
GCA_009646055		0
GCA_000805655		0
GCA_002144015		0
GCA_001433125		0
GCA_016623485		0
GCA_001706575		0
GCA_002143175		0
GCA_010608795		0
GCA_000934125		0
GCA_016522335		0
GCA_002145315		0
GCA_003947895		0
GCA_001706285		0
GCA_002137935		0
GCA_001433295		0
GCA_001707545		0
GCA_016502535		0
GCA_001005885		0
GCA_001706205		0
GCA_003978965		0
GCA_010612505		0
GCA_008580785		0
GCA_902386175		0
GCA_001684275		0
GCA_003569475		0
GCA_001056355		0
GCA_001706425		0
GCA_001706315		0
GCA_001706715		0
GCA_001706695		0
GCA_001706355		0
GCA_002143025		0
GCA_001706775		0
GCA_003569665		0
GCA_002161985		0
GCA_001706415		0
GCA_001713685		0
GCA_000681535		0
GCA_001415585		0
GCA_001415105		0
GCA_001706195		0
GCA_001706115		0
GCA_001706445		0
GCA_001415145		0
GCA_001713665		0
GCA_001706565		0
GCA_001415185		0
GCA_001415175		0
GCA_001415485		0
GCA_001415935		0
GCA_001415245		0
GCA_001415865		0
GCA_001415895		0
GCA_001416185		0
GCA_001416335		0
GCA_001414705		0
GCA_013344885		0
GCA_001416065		0
GCA_001706305		0
GCA_000399685		0
GCA_000369025		0
GCA_000230465		0
GCA_000302375		0
GCA_000529235		0
GCA_003354845		0
GCA_003359305		0
GCA_003359275		0
GCA_003359225		0
GCA_003359215		0
GCA_003359315		0
GCA_003359295		0
GCA_002341885		0
GCA_013530605		0
GCA_002341995		0
GCA_002380965		0
GCA_002006845		0
GCA_003542735		0
GCA_003843635		0
GCA_003843755		0
GCA_003512015		0
GCA_002339985		0
GCA_001706735		0
GCA_001415685		0
GCA_015664605		0
GCA_000248235		0
GCA_000248335		0
